ID	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"	No. module	Zi	Pi	Role	Flag	Taxonomy	Abundance	Top?
OTU_167	11	4440.11105304019	16690	0.0402850759263878	0.236363636363636	0	1.16646487358954	0.528925619834711	0	0	Actinobacteria	2870	0
OTU_170	3	225.073052235488	500	0.000234266404365399	0	3	0	0.444444444444444	0	-1	Acidobacteria	2546	0
OTU_175	1	0	0	1.29341888881434e-05	0	1	-0.691973526634884	0	0	0	Gemmatimonadetes	1206	1
OTU_176	5	1143	3093	1.36736118753904e-05	0.1	3	2.41867732448957	0	0	-1	Verrucomicrobia	2605	1
OTU_180	9	3194.1884637823	9726	0.00830324465125415	0.166666666666667	1	1.08738697042625	0.345679012345679	0	-1	Verrucomicrobia	5567	1
OTU_185	11	32.5357309357309	224	0.216644353576948	0.654545454545455	2	1.01840252769323	0	0	0	Actinobacteria	4727	0
OTU_187	11	725.929600784877	3277	0.00397649935359325	0.290909090909091	1	2.27362730180033	0	0	-1	Acidobacteria	3822	0
OTU_188	2	0	0	2.39830206290597e-11	1	4	-0.939369308718743	0	0	0	Firmicutes	1380	0
OTU_189	9	236.032266354292	787	0.190641743948683	0.5	2	0.650166585476468	0	0	0	Actinobacteria	2577	0
OTU_190	2	80.3177777777778	692	0.000301052222469538	0	1	-0.395413443791362	0	0	-1	Actinobacteria	1039	0
